Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
1	1	0.000	i36884Gh	1.24	1	 1.00000	 1.77778	 0.250000	 2.15709	 17.8	 0.375000	 1.15278	1.000
2	1	1.000		1.19	1	 0.995214	 1.77498	 0.229757	 2.17414	 17.2	 0.382729	 1.16249	0.962
3	1	2.000		1.13	1	 0.990013	 1.76627	 0.214056	 2.19361	 16.4	 0.387978	 1.16423	0.927
4	1	3.000		1.07	1	 0.983945	 1.75188	 0.203312	 2.21515	 15.6	 0.390317	 1.15825	0.896
5	1	4.000		1.00	1	 0.976589	 1.73227	 0.197748	 2.23834	 14.7	 0.389420	 1.14510	0.868
6	1	5.000		0.94	1	 0.967580	 1.70809	 0.197395	 2.26270	 13.8	 0.385093	 1.12560	0.843
7	1	6.000		0.87	1	 0.956640	 1.68010	 0.202095	 2.28773	 12.9	 0.377272	 1.10074	0.822
8	1	7.000		0.80	1	 0.943592	 1.64917	 0.211528	 2.31295	 11.9	 0.366032	 1.07161	0.804
9	1	8.000		0.73	1	 0.928377	 1.61618	 0.225246	 2.33792	 11.0	 0.351565	 1.03937	0.789
10	1	9.000		0.67	1	 0.911056	 1.58197	 0.242711	 2.36223	 10.0	 0.334172	 1.00508	0.777
11	1	10.000		0.60	1	 0.891806	 1.54731	 0.263334	 2.38555	  9.1	 0.314236	 0.969743	0.769
12	1	11.000		0.55	1	 0.870916	 1.51288	 0.286516	 2.40762	  8.3	 0.292200	 0.934166	0.764
13	1	12.000		0.49	1	 0.848774	 1.47921	 0.311673	 2.42825	  7.5	 0.268551	 0.898984	0.762
14	1	13.000		0.44	1	 0.825854	 1.44668	 0.338264	 2.44730	  6.8	 0.243795	 0.864624	0.763
15	1	14.000		0.40	1	 0.802695	 1.41556	 0.365806	 2.46473	  6.1	 0.218444	 0.831306	0.767
16	1	15.000		0.36	1	 0.779877	 1.38594	 0.393883	 2.48050	  5.5	 0.192997	 0.799060	0.774
17	1	16.000		0.32	1	 0.757993	 1.35783	 0.422148	 2.49468	  5.0	 0.167923	 0.767757	0.785
18	1	17.000		0.29	1	 0.737615	 1.33111	 0.450322	 2.50732	  4.5	 0.143646	 0.737144	0.799
19	1	18.000		0.26	1	 0.719252	 1.30562	 0.478187	 2.51852	  4.1	 0.120533	 0.706904	0.816
20	1	19.000		0.24	1	 0.703315	 1.28115	 0.505575	 2.52840	  3.7	 0.0988703	 0.676704	0.836
21	1	20.000		0.22	1	 0.690085	 1.25748	 0.532359	 2.53710	  3.4	 0.0788633	 0.646254	0.860
22	1	21.000		0.20	1	 0.679690	 1.23442	 0.558441	 2.54472	  3.1	 0.0606246	 0.615353	0.887
23	1	22.000		0.18	1	 0.672102	 1.21184	 0.583744	 2.55141	  2.8	 0.0441790	 0.583915	0.917
24	1	23.000		0.17	1	 0.667151	 1.18966	 0.608205	 2.55727	  2.6	 0.0294730	 0.551978	0.950
25	1	23.421	i22761Gh	0.16	1	 0.665789	 1.18043	 0.618237	 2.55951	  2.5	 0.0237759	 0.538418	0.966
26	1	24.421		0.15	1	 0.662698	 1.18952	 0.624048	 2.56397	  2.3	 0.0193247	 0.546142	0.930
27	1	25.421		0.14	1	 0.659796	 1.19662	 0.631387	 2.56873	  2.2	 0.0142042	 0.551030	0.899
28	1	26.421		0.13	1	 0.657133	 1.20110	 0.640495	 2.57378	  2.0	 0.00831906	 0.552290	0.870
29	1	27.421		0.11	1	 0.654766	 1.20218	 0.651632	 2.57909	  1.8	 0.00156716	 0.548978	0.845
30	1	28.421		0.10	1	 0.652759	 1.19890	 0.665070	 2.58461	  1.6	-0.00615590	 0.539989	0.823
31	1	29.421		0.08	1	 0.651180	 1.19019	 0.681080	 2.59027	  1.3	-0.0149501	 0.524058	0.804
32	1	30.421		0.07	1	 0.650102	 1.17479	 0.699903	 2.59594	  1.1	-0.0249003	 0.499788	0.789
33	1	31.421		0.06	1	 0.649594	 1.15137	 0.721716	 2.60149	  0.9	-0.0360608	 0.465710	0.776
34	1	32.421		0.05	1	 0.649718	 1.11854	 0.746589	 2.60669	  0.7	-0.0484359	 0.420387	0.767
35	1	33.421		0.03	1	 0.650512	 1.07505	 0.774422	 2.61130	  0.5	-0.0619546	 0.362580	0.761
36	1	34.421		0.03	1	 0.651988	 1.01991	 0.804881	 2.61500	  0.4	-0.0764465	 0.291473	0.758
37	1	35.421		0.02	1	 0.654108	 0.952666	 0.837348	 2.61746	  0.3	-0.0916199	 0.206939	0.758
38	1	36.421		0.02	1	 0.656777	 0.873637	 0.870883	 2.61835	  0.3	-0.107053	 0.109807	0.761
39	1	37.421		0.02	1	 0.659837	 0.784112	 0.904251	 2.61739	  0.3	-0.122207	 0.00206791	0.767
40	1	38.421		0.03	1	 0.663072	 0.686446	 0.936001	 2.61436	  0.4	-0.136464	-0.113090	0.777
41	1	39.421		0.04	1	 0.666223	 0.583954	 0.964617	 2.60923	  0.6	-0.149197	-0.231465	0.789
42	1	40.421		0.06	1	 0.669020	 0.480599	 0.988713	 2.60209	  0.9	-0.159847	-0.348267	0.805
43	1	41.421		0.08	1	 0.671215	 0.380514	 1.00722	 2.59320	  1.2	-0.168004	-0.458705	0.824
44	1	42.421		0.10	1	 0.672615	 0.287473	 1.01954	 2.58297	  1.6	-0.173460	-0.558602	0.846
45	1	43.421		0.13	1	 0.673105	 0.204450	 1.02554	 2.57186	  2.0	-0.176219	-0.644874	0.871
46	1	44.421		0.16	1	 0.672646	 0.133363	 1.02559	 2.56034	  2.5	-0.176474	-0.715757	0.900
47	1	45.421		0.19	1	 0.671275	 0.0750399	 1.02038	 2.54883	  2.9	-0.174554	-0.770789	0.932
48	1	46.421		0.21	1	 0.669078	 0.0293547	 1.01080	 2.53769	  3.3	-0.170860	-0.810583	0.967
49	1	47.266	i44475Gh	0.24	1	 0.666667	 0.00000	 1.00000	 2.52874	  3.7	-0.166667	-0.833333	1.000
50	1	48.266		0.24	1	 0.667436	-0.234944	 1.00105	 2.52874	  3.7	-0.166809	-1.06919	0.968
